Timp,ID_Legatura,FortaModul_N,FortaX_N,FortaY_N,Moment_Nm
3.4530,1,337.2971,-295.8870,-161.9264,0.0000
3.4530,2,9240686.0000,20.5776,-9240686.0000,614.7716
3.4690,0,355.5128,-311.5467,-171.2542,0.0000
3.4690,1,350.8340,-304.0831,-174.9799,0.0000
3.4690,2,9247272.0000,20.5994,-9247272.0000,615.2490
3.4860,0,370.1969,-320.1470,-185.8808,0.0000
3.4860,1,365.3230,-312.3232,-189.5128,0.0000
3.4860,2,9254278.0000,20.6222,-9254278.0000,615.7706
3.5030,0,384.9862,-328.2217,-201.2086,0.0000
3.5030,1,379.9167,-320.0370,-204.7266,0.0000
3.5030,2,9261282.0000,20.6459,-9261282.0000,616.3204
3.5200,0,399.7662,-335.6325,-217.1725,0.0000
3.5200,1,394.4996,-327.0858,-220.5557,0.0000
